"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"hand soap dispenser glass",,,282,563,-55,1.26,0.67,1.34,423,">2,000",9,0,0,0,0,,
"dispensadores para baño",,,"3,199",563,-47,,,,278,176,9,0,0,0,0,,
"casabella soap dispenser",,,"11,070",631,-4,0.82,0.72,1.03,153,57,10,0,0,0,0,,
"soap and lotion set",,,92,644,-2,1.09,0.7,1.39,508,">7,000",10,0,0,0,1,,
"dishwashing liquid dispenser for kitchen",,,701,701,-1,1.06,0.63,1.14,382,">1,000",10,0,0,0,1,,
"bathroom dispenser",,,117,701,-35,0.66,0.52,1.04,480,">6,000",10,0,0,0,0,,
"soap and dish soap dispenser set kitchen",,,351,701,15,0.96,0.69,1.32,324,">2,000",10,0,0,0,0,,
"glass hand soap dispenser with pump",,,351,701,9,1.01,0.57,1.21,338,">2,000",10,0,0,0,0,,
"glass lotion dispenser with pump",,,351,701,20,1.06,0.71,1.21,325,">2,000",10,0,0,0,0,,
"dish and hand soap dispenser set with tray",,,712,701,-47,1.36,0.94,1.52,363,">984",10,0,0,0,0,,
"hands and dishes soap dispenser set",,,351,701,19,0.97,0.76,1.16,384,">2,000",10,0,0,0,0,,
"dishwasher soap dispenser",,,760,760,10,1.22,0.72,1.5,410,">1,000",11,0,0,0,1,,
"lotion and soap dispenser set",,,415,830,12,0.91,0.55,1,384,">2,000",11,0,0,0,0,,
"dish soap hand soap dispenser set",,,166,832,8,0.92,0.63,1.1,336,">5,000",11,0,0,0,0,,
"glass soap dispenser bathroom",,,298,895,-44,1.1,0.74,1.24,466,">3,000",12,0,0,0,1,,
"black hand soap dispenser",,,448,895,8,0.87,0.72,0.98,403,">2,000",12,0,0,0,2,,
"liquid soap dispenser for kitchen",,,286,"1,144",91,1.14,0.67,1.3,387,">4,000",26,0,0,0,0,,
"soap and lotion dispenser set with tray",,,"1,300","1,144",-38,0.94,0.61,0.96,513,">880",27,0,0,0,3,,
"glass soap dispenser for kitchen sink",,,574,"1,147",-4,0.98,0.69,1.22,523,">2,000",26,0,0,0,1,,
"kitchen hand soap dispenser",,,238,"1,191",41,1.1,0.66,1.24,462,">5,000",26,0,0,0,0,,
"bathroom hand soap dispenser",,,252,"1,262",39,0.91,0.64,1.14,416,">5,000",26,0,0,0,2,,
"vintage soap dispenser",,,"1,415","1,262",12,0.97,0.58,1.04,410,">892",26,0,0,0,1,,
"dish soap and hand soap dispenser for kitchen sink",,,421,"1,262",2,1.01,0.68,1.21,424,">3,000",26,0,0,0,0,,
"dispensador de jabon liquido para cocina",,,"5,719","1,264",-11,0.95,0.66,1.19,611,221,26,0,0,0,1,,
"bathroom soap set",,,253,"1,266",-47,0.93,0.68,1.12,567,">5,000",26,0,0,0,0,,
"soap dispenser black",,,423,"1,268",50,0.91,0.69,1.13,532,">3,000",26,0,0,0,0,,
"hand soap and lotion dispenser set",,,659,"1,318",24,0.73,0.52,0.85,492,">2,000",27,0,0,0,5,,
"glass bathroom accessories",,,168,"1,343",4,0.84,0.57,1,844,">8,000",27,0,0,0,3,,
"hand soap dish soap dispenser set",,,672,"1,343",5,0.88,0.69,1.1,482,">2,000",26,0,0,0,1,,
"soap dispenser glass",,,448,"1,344",-51,0.93,0.54,0.99,547,">3,000",26,0,0,0,0,,
"kitchen sink soap dispenser set",,,672,"1,344",-36,0.87,0.61,1.09,427,">2,000",26,0,0,0,1,,
"glass hand soap dispenser",,,677,"1,353",6,0.89,0.57,1.01,540,">2,000",26,0,0,0,1,,
"glass dish soap dispenser",,,677,"1,353",-1,0.98,0.69,1,620,">2,000",26,0,0,0,2,,
"bathroom countertop soap dispensers",,,339,"1,355",13,1.01,0.78,1.2,542,">4,000",26,0,0,0,1,,
"hand soap and dish soap dispenser set",,,678,"1,356",19,0.91,0.64,1.2,284,">2,000",26,0,0,0,2,,
"dish detergent dispenser",,,"1,987","1,510",23,0.87,0.59,1.17,533,">760",26,0,0,0,0,,
"kitchen soap dispenser set with tray",,,779,"1,557",-21,0.78,0.68,1.07,452,">2,000",28,0,0,0,7,,
"soap dish for kitchen",,,226,"1,581",-8,0.93,0.68,1.39,653,">7,000",26,0,0,0,1,,
"black soap dispenser for kitchen sink",,,"1,583","1,583",38,0.91,0.79,1.19,444,">1,000",26,0,0,0,1,,
"bathroom dispenser sets",,,289,"1,733",97,0.72,0.57,0.92,595,">6,000",26,0,0,0,0,,
"hand soap and lotion set",,,578,"1,735",9,1.18,0.83,1.55,665,">3,000",27,0,0,0,2,,
"dish and hand soap dispenser set",,,898,"1,796",43,1.04,0.73,1.23,431,">2,000",26,0,0,0,0,,
"lotion dispenser with pump",,,452,"1,808",43,0.98,0.65,1.19,556,">4,000",27,0,0,0,2,,
"soap dispenser tray",,,453,"1,810",39,0.72,0.54,0.95,657,">4,000",29,0,0,0,7,,
"soap dispenser bathroom set",,,458,"1,832",61,0.78,0.54,0.87,586,">4,000",27,0,0,0,3,,
7,,,7,"2,038",-20,1.17,0.79,1.29,"1,324",">300,000",34,0,0,0,22,,
"hand soap dispenser for kitchen sink",,,561,"2,242",-23,1.01,0.62,1.2,413,">4,000",27,0,0,0,1,,
"soap dispenser set",,,759,"2,278",-90,0.83,0.53,1.02,500,">3,000",33,0,0,0,20,,
"kitchen dish soap dispenser",,,456,"2,282",7,0.79,0.55,1.07,471,">5,000",27,0,0,0,0,,
"hand and dish soap dispenser set",,,"1,198","2,395",63,0.86,0.68,1,427,">2,000",30,0,0,0,9,,
"soap and lotion dispenser set",,,"1,703","3,406",74,0.78,0.55,0.81,504,">2,000",32,0,0,0,11,,
"black soap dispenser bathroom",,,"1,988","3,976",57,0.9,0.66,1.17,538,">2,000",30,0,0,0,4,,
"dish soap dispenser for kitchen sink",,,"1,609","4,826",61,0.81,0.65,1.26,467,">3,000",32,0,0,0,7,,
"glass soap dispenser with pump",,,"2,671","5,341",86,0.95,0.6,1.03,521,">2,000",31,0,0,0,2,,
"black soap dispenser",,,"2,114","6,341",-10,0.8,0.53,0.81,454,">3,000",39,0,0,0,22,,
"hand soap dispenser for bathroom",,,"1,368","6,839",37,1.04,0.59,1.23,488,">5,000",36,0,0,0,10,,
"glass soap dispenser",,,"2,653","7,960",-6,0.88,0.6,1,513,">3,000",41,0,0,0,24,,
"kitchen soap dispenser set",,,"3,468","10,404",-20,0.95,0.65,1.21,345,">3,000",40,0,0,0,11,,
"bathroom soap dispenser set",,,"3,470","10,411",25,0.96,0.63,1.06,599,">3,000",37,0,0,0,0,,
"dish soap dispenser",,,"4,657","23,287",15,0.82,0.56,1.08,456,">5,000",60,0,0,0,24,,
"hand soap dispenser",,,"4,599","32,196",26,0.97,0.66,1.31,439,">7,000",68,0,0,0,17,,
"dish soap dispenser for kitchen",,,"9,893","49,463",2,0.84,0.57,1.13,476,">5,000",86,0,0,0,10,,
"soap dispenser for kitchen sink",,,"11,989","59,944",92,0.79,0.49,1.07,416,">5,000",100,0,0,0,14,,
